,index,Unnamed: 0,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
41,436,436,600585.XSHG,600585,海螺水泥,XSHG,2021-03-09,51.1,51.1,51.29,51.88,49.9,50.52,35642982,1815004740,75943,0.0089,1.0,202064975352.0,267720767352.0,-0.0114,7.7609,8.1229,1.7668,1,50.922
42,437,437,600585.XSHG,600585,海螺水泥,XSHG,2021-03-10,50.52,50.52,50.9,51.25,50.35,51.01,20524243,1044527793,46016,0.0051,1.0,204024829626.0,270317425626.0,0.0097,7.8362,8.2017,1.784,1,50.891999999999996
43,438,438,600585.XSHG,600585,海螺水泥,XSHG,2021-03-11,51.01,51.01,51.8,53.68,51.79,53.18,58271078,3092586292,106584,0.0146,1.0,212704184268.0,281816912268.0,0.0425,8.1695,8.5506,1.8599,1,53.071999999999996
44,439,439,600585.XSHG,600585,海螺水泥,XSHG,2021-03-12,53.18,53.18,53.55,54.89,53.01,54.42,61570894,3341166581,118271,0.0154,1.0,217663815492.0,288388047492.0,0.0233,8.36,8.75,1.9032,1,54.265
45,440,440,600585.XSHG,600585,海螺水泥,XSHG,2021-03-15,54.42,54.42,54.06,54.88,53.33,53.85,38837450,2096957883,82696,0.0097,1.0,215383985010.0,285367445010.0,-0.0105,8.2724,8.6583,1.8833,1,53.993
46,441,441,600585.XSHG,600585,海螺水泥,XSHG,2021-03-16,53.85,53.85,53.9,54.14,53.08,54.0,23447840,1258776365,51383,0.0059,1.0,215983940400.0,286162340400.0,0.0028,8.2955,8.6825,1.8885,1,53.684
47,442,442,600585.XSHG,600585,海螺水泥,XSHG,2021-03-17,54.0,54.0,54.05,54.07,52.68,53.07,25461315,1352498783,58397,0.0064,1.0,212264216982.0,281233988982.0,-0.0172,8.1526,8.5329,1.8559999999999999,1,53.12
48,443,443,600585.XSHG,600585,海螺水泥,XSHG,2021-03-18,53.07,53.07,53.15,53.65,52.71,52.95,21543606,1143275561,46189,0.0054,1.0,211784252670.0,280598072670.0,-0.0023,8.1342,8.5136,1.8518,1,53.068000000000005
49,444,444,600585.XSHG,600585,海螺水泥,XSHG,2021-03-19,52.95,52.95,52.49,52.5,51.5,51.56,27367786,1419966354,62968,0.0068,1.0,206224666056.0,273232042056.0,-0.0263,7.9207,8.2901,1.8032,1,51.885
50,445,445,600585.XSHG,600585,海螺水泥,XSHG,2021-03-22,51.56,51.56,51.56,52.0,50.99,51.98,19632177,1014490642,46549,0.0049,1.0,207904541148.0,275457749148.0,0.0081,7.8412,7.8412,1.7022,1,51.675
51,446,446,600585.XSHG,600585,海螺水泥,XSHG,2021-03-23,51.98,51.98,52.26,53.49,51.39,51.68,37038345,1937778506,79515,0.0093,1.0,206704630368.0,273867958368.0,-0.0058,7.7959,7.7959,1.6924,1,52.318000000000005
52,447,447,600585.XSHG,600585,海螺水泥,XSHG,2021-03-24,51.68,51.68,51.26,51.72,50.62,50.73,27616489,1407004167,65028,0.0069,1.0,202904912898.0,268833620898.0,-0.0184,7.6526,7.6526,1.6613,1,50.948
53,448,448,600585.XSHG,600585,海螺水泥,XSHG,2021-03-25,50.73,50.73,50.77,51.19,50.32,50.9,23352313,1186974286,56194,0.0058,1.0,203584862340.0,269734502340.0,0.0034,7.6782,7.6782,1.6669,1,50.82899999999999
54,449,449,600585.XSHG,600585,海螺水泥,XSHG,2021-03-26,50.9,50.9,51.25,51.55,50.7,51.33,28553458,1461772075,62269,0.0071,1.0,205304734458.0,272013202458.0,0.0084,7.7431,7.7431,1.6809,1,51.193999999999996
55,450,450,600585.XSHG,600585,海螺水泥,XSHG,2021-03-29,51.33,51.33,51.72,52.4,51.58,51.68,35129879,1824024333,66390,0.0088,1.0,206704630368.0,273867958368.0,0.0068,7.7959,7.7959,1.6924,1,51.922
56,451,451,600585.XSHG,600585,海螺水泥,XSHG,2021-03-30,51.68,51.68,51.69,51.92,51.43,51.6,28209031,1455482667,51830,0.0071,1.0,206384654160.0,273444014160.0,-0.0015,7.7838,7.7838,1.6898,1,51.596000000000004
